Pick,Round 1,Round 2,Round 3,Round 4,Round 5,Round 6,Round 7,Round 8,Round 9,QBs in Final 9,RBs in Final 9,WRs in Final 9,TEs in Final 9,Average Points
4th,RB,RB,WR,QB,RB,QB,WR,WR,TE,0,2,6,1,1612.61988
6th,RB,RB,RB,WR,TE,RB,QB,WR,TE,1,1,7,0,1612.46654
6th,RB,RB,RB,TE,WR,QB,QB,WR,WR,0,2,6,1,1612.28828
1st,RB,WR,WR,WR,WR,RB,QB,TE,RB,1,3,4,1,1612.24274
6th,RB,WR,WR,WR,WR,WR,RB,QB,TE,1,3,3,2,1612.21644
4th,RB,RB,WR,QB,WR,RB,QB,RB,WR,0,1,5,3,1612.16688
1st,WR,WR,WR,QB,TE,WR,RB,RB,QB,0,4,3,2,1612.16124
4th,RB,RB,RB,QB,QB,TE,WR,WR,WR,0,1,7,1,1612.09168
6th,WR,RB,TE,WR,QB,WR,RB,QB,TE,0,3,6,0,1612.03842
1st,RB,RB,WR,WR,WR,TE,QB,TE,QB,0,3,6,0,1612
1st,WR,WR,QB,TE,WR,WR,WR,QB,RB,0,5,3,1,1612
12th,WR,RB,TE,RB,QB,WR,QB,RB,WR,0,3,5,1,1612
1st,RB,WR,WR,WR,WR,QB,RB,WR,TE,1,4,3,1,1612
1st,RB,WR,WR,RB,WR,QB,RB,QB,RB,1,1,5,2,1612
4th,WR,RB,RB,WR,QB,TE,QB,WR,TE,0,4,5,0,1612
1st,WR,WR,WR,TE,WR,QB,WR,QB,TE,0,9,0,0,1612
6th,RB,RB,WR,QB,WR,WR,RB,WR,RB,1,1,4,3,1612
1st,WR,WR,RB,TE,RB,RB,QB,QB,TE,1,3,5,0,1612
12th,WR,RB,TE,WR,QB,WR,RB,QB,TE,0,3,6,0,1611.7587
6th,RB,WR,WR,WR,WR,WR,TE,QB,RB,1,3,4,1,1611.74854
1st,WR,QB,WR,WR,WR,TE,RB,QB,RB,0,5,3,1,1611.72698
6th,RB,WR,RB,WR,TE,RB,QB,WR,WR,1,2,5,1,1611.66278
4th,WR,RB,RB,QB,WR,WR,QB,RB,RB,0,1,5,3,1611.55554
6th,RB,WR,QB,WR,QB,WR,TE,WR,RB,0,3,5,1,1611.49162
1st,RB,QB,WR,WR,RB,TE,RB,QB,RB,0,2,6,1,1611.40238
6th,RB,WR,TE,RB,WR,WR,QB,WR,WR,1,3,4,1,1611.2601
4th,RB,RB,RB,TE,WR,QB,QB,WR,WR,0,2,6,1,1611.235
4th,RB,WR,TE,WR,QB,QB,RB,WR,WR,0,3,5,1,1611.1923
1st,RB,WR,TE,RB,WR,RB,QB,WR,QB,0,2,6,1,1611.16026
6th,RB,WR,RB,WR,QB,WR,TE,WR,RB,1,2,5,1,1611.08018
1st,RB,WR,WR,WR,TE,WR,WR,QB,WR,1,5,2,1,1611
4th,RB,WR,WR,QB,WR,QB,WR,TE,WR,0,6,2,1,1611
1st,RB,WR,WR,WR,QB,WR,RB,WR,TE,1,4,3,1,1611
1st,RB,RB,WR,WR,WR,WR,QB,QB,TE,0,2,5,2,1611
6th,RB,RB,RB,WR,TE,WR,QB,WR,WR,2,0,5,2,1611
4th,RB,RB,WR,WR,QB,QB,WR,WR,WR,0,3,3,3,1611
4th,RB,WR,WR,RB,QB,WR,QB,TE,RB,0,3,5,1,1611
6th,RB,WR,WR,TE,WR,WR,TE,QB,QB,0,6,3,0,1611
12th,WR,RB,RB,WR,TE,WR,RB,QB,RB,2,1,5,1,1611
1st,RB,WR,WR,TE,TE,QB,QB,WR,WR,0,6,3,0,1611
1st,WR,WR,WR,WR,RB,WR,QB,QB,TE,1,5,1,2,1611
1st,WR,WR,WR,RB,WR,QB,TE,QB,RB,0,5,3,1,1611
