Pick,Round 1,Round 2,Round 3,Round 4,Round 5,Round 6,Round 7,Round 8,Round 9,QBs in Final 9,RBs in Final 9,WRs in Final 9,TEs in Final 9,Average Points
1st,RB,RB,RB,WR,WR,WR,TE,WR,WR,2,2,4,1,1542.57382
9th,TE,WR,RB,TE,QB,RB,RB,WR,WR,1,3,5,0,1542.55078
9th,TE,RB,RB,TE,QB,QB,WR,WR,WR,0,3,6,0,1542.49968
12th,WR,QB,QB,RB,WR,RB,TE,WR,RB,0,5,3,1,1542.49838
12th,TE,WR,TE,WR,QB,RB,WR,RB,WR,1,4,4,0,1542.48942
1st,WR,RB,QB,RB,RB,TE,RB,RB,WR,1,1,6,1,1542.47814
9th,RB,QB,RB,WR,TE,WR,RB,WR,QB,0,2,6,1,1542.44322
9th,RB,WR,RB,RB,TE,WR,TE,RB,WR,3,2,4,0,1542.44174
4th,RB,QB,RB,WR,WR,RB,WR,WR,RB,1,2,4,2,1542.43818
6th,WR,RB,RB,WR,WR,RB,TE,TE,RB,3,0,5,1,1542.35532
1st,WR,QB,WR,RB,QB,RB,WR,WR,WR,0,4,2,3,1542.34924
6th,RB,RB,RB,TE,RB,RB,WR,WR,WR,2,0,6,1,1542.34846
12th,RB,WR,QB,QB,TE,RB,WR,WR,RB,0,3,5,1,1542.34736
4th,WR,QB,TE,RB,WR,RB,WR,WR,RB,1,3,4,1,1542.32064
4th,RB,RB,RB,WR,RB,WR,QB,WR,QB,2,3,3,1,1542.31874
9th,RB,RB,WR,RB,RB,WR,WR,WR,WR,2,0,5,2,1542.29052
9th,WR,RB,TE,TE,WR,RB,WR,RB,WR,2,3,4,0,1542.2232
12th,WR,WR,RB,RB,WR,WR,TE,WR,RB,2,3,3,1,1542.19072
9th,WR,WR,RB,WR,QB,RB,WR,RB,QB,0,4,3,2,1542.17092
4th,WR,WR,WR,WR,WR,WR,WR,QB,TE,1,6,0,2,1542.1366
6th,WR,RB,TE,TE,WR,RB,WR,RB,WR,2,2,5,0,1542.12406
12th,RB,RB,TE,WR,RB,WR,RB,TE,TE,2,2,5,0,1542.08146
4th,WR,RB,RB,WR,WR,RB,TE,TE,RB,3,0,5,1,1542.07436
9th,WR,QB,WR,RB,QB,RB,WR,WR,WR,0,4,2,3,1542.05332
12th,RB,WR,QB,RB,TE,TE,TE,WR,WR,1,3,5,0,1542.04126
9th,WR,RB,TE,WR,RB,RB,WR,RB,WR,2,0,6,1,1542.0354
1st,WR,QB,RB,WR,WR,RB,TE,WR,WR,1,5,2,1,1542.0213
4th,RB,WR,WR,WR,WR,TE,WR,QB,WR,1,5,2,1,1542
9th,RB,WR,QB,TE,QB,WR,RB,WR,WR,2,3,2,2,1542
6th,WR,RB,WR,RB,WR,RB,WR,RB,WR,3,2,1,3,1542
9th,RB,WR,WR,TE,RB,RB,WR,WR,WR,2,2,5,0,1542
4th,RB,RB,QB,TE,WR,WR,RB,QB,WR,2,2,4,1,1542
4th,RB,WR,QB,TE,QB,RB,QB,WR,TE,0,2,5,2,1542
4th,WR,WR,WR,TE,TE,WR,WR,WR,WR,3,6,0,0,1542
12th,WR,RB,WR,RB,RB,RB,RB,RB,WR,2,0,4,3,1542
4th,WR,WR,WR,RB,RB,TE,QB,TE,RB,1,4,2,2,1542
12th,RB,WR,RB,RB,TE,QB,RB,RB,QB,1,2,4,2,1542
4th,WR,RB,QB,RB,TE,WR,WR,WR,RB,2,2,5,0,1542
4th,TE,WR,QB,RB,WR,WR,WR,QB,WR,0,5,3,1,1542
12th,RB,WR,RB,WR,TE,QB,RB,WR,RB,0,2,6,1,1542
12th,WR,RB,WR,RB,TE,QB,TE,WR,TE,1,2,5,1,1542
9th,RB,RB,RB,RB,WR,RB,RB,WR,RB,2,0,5,2,1541.96346
6th,WR,RB,TE,WR,WR,QB,WR,RB,RB,1,2,5,1,1541.9631
9th,WR,QB,WR,RB,RB,TE,WR,QB,WR,0,4,4,1,1541.95174
9th,TE,RB,RB,QB,QB,WR,WR,RB,WR,0,1,7,1,1541.9248
9th,WR,QB,RB,WR,RB,TE,WR,QB,WR,0,4,4,1,1541.92328
4th,WR,QB,TE,WR,RB,QB,WR,WR,WR,0,6,2,1,1541.88986
1st,RB,RB,QB,RB,WR,TE,TE,WR,TE,1,2,6,0,1541.86814
6th,TE,RB,RB,WR,QB,WR,WR,RB,WR,1,1,6,1,1541.86732
1st,TE,WR,TE,WR,QB,RB,WR,RB,WR,1,4,4,0,1541.83814
4th,RB,RB,RB,WR,TE,RB,WR,QB,QB,0,2,6,1,1541.81746
9th,WR,WR,RB,WR,RB,TE,RB,WR,RB,3,2,3,1,1541.81374
9th,WR,RB,RB,WR,WR,RB,TE,WR,QB,1,4,3,1,1541.80196
9th,WR,RB,RB,TE,QB,TE,RB,QB,TE,0,2,7,0,1541.78436
6th,TE,WR,TE,WR,RB,WR,RB,QB,WR,1,3,5,0,1541.76828
9th,TE,RB,TE,WR,RB,QB,RB,QB,WR,0,2,7,0,1541.74464
9th,WR,RB,RB,QB,TE,TE,RB,TE,WR,1,2,6,0,1541.74264
4th,WR,RB,TE,WR,WR,RB,WR,RB,TE,2,4,3,0,1541.7334
9th,WR,WR,RB,RB,WR,RB,WR,WR,TE,2,2,4,1,1541.72858
1st,RB,WR,RB,WR,RB,TE,TE,RB,WR,2,2,5,0,1541.71112
12th,WR,QB,RB,WR,WR,RB,TE,WR,WR,1,5,2,1,1541.69626
12th,RB,RB,RB,WR,WR,RB,WR,TE,QB,1,0,7,1,1541.69432
9th,WR,RB,TE,RB,WR,WR,QB,RB,RB,1,2,5,1,1541.68084
9th,WR,WR,TE,WR,WR,RB,WR,RB,QB,1,3,4,1,1541.66696
4th,WR,QB,QB,RB,WR,TE,TE,WR,RB,0,6,3,0,1541.66694
9th,WR,RB,TE,RB,WR,RB,WR,RB,WR,2,2,4,1,1541.65264
12th,RB,QB,TE,RB,WR,WR,RB,WR,RB,1,2,4,2,1541.65218
4th,TE,WR,RB,WR,RB,QB,WR,RB,QB,0,4,4,1,1541.6519
6th,WR,RB,QB,RB,WR,RB,WR,RB,TE,1,2,5,1,1541.64782
9th,WR,WR,RB,WR,QB,TE,WR,RB,RB,1,2,4,2,1541.64346
4th,RB,WR,WR,RB,RB,TE,TE,TE,WR,2,2,5,0,1541.6397
6th,WR,RB,TE,TE,RB,RB,WR,QB,RB,1,2,6,0,1541.62456
9th,TE,WR,WR,RB,QB,RB,RB,WR,WR,1,3,4,1,1541.6206
1st,WR,RB,WR,RB,TE,TE,RB,TE,WR,2,2,5,0,1541.53908
9th,WR,RB,TE,WR,WR,TE,RB,RB,WR,2,3,4,0,1541.53714
6th,WR,WR,TE,RB,WR,QB,WR,TE,WR,1,5,3,0,1541.52094
12th,RB,QB,RB,RB,RB,WR,WR,WR,RB,1,1,5,2,1541.5119
12th,TE,WR,RB,RB,RB,WR,WR,QB,RB,1,3,4,1,1541.49968
4th,RB,WR,QB,TE,RB,RB,RB,WR,WR,1,2,5,1,1541.4933
4th,WR,WR,WR,RB,TE,WR,WR,WR,RB,2,4,2,1,1541.47292
9th,WR,WR,WR,WR,WR,WR,WR,RB,QB,1,5,0,3,1541.47238
4th,WR,QB,QB,RB,WR,TE,WR,RB,TE,0,6,3,0,1541.45442
6th,TE,RB,QB,RB,RB,WR,WR,WR,WR,1,3,4,1,1541.42208
1st,TE,WR,WR,RB,QB,RB,RB,WR,WR,1,3,4,1,1541.41498
12th,RB,RB,RB,WR,WR,TE,RB,WR,QB,1,1,6,1,1541.40734
6th,WR,WR,RB,WR,RB,TE,RB,WR,RB,2,1,5,1,1541.37308
1st,RB,QB,RB,RB,RB,WR,WR,WR,RB,1,2,4,2,1541.36344
4th,WR,QB,TE,RB,WR,WR,RB,WR,RB,1,3,3,2,1541.36154
9th,WR,QB,TE,WR,QB,WR,RB,WR,WR,0,6,2,1,1541.35356
12th,RB,RB,QB,RB,WR,TE,TE,WR,TE,1,2,6,0,1541.34812
9th,WR,RB,WR,RB,WR,TE,RB,RB,TE,2,1,6,0,1541.34728
1st,RB,RB,TE,RB,RB,WR,WR,WR,RB,2,0,6,1,1541.34178
6th,RB,RB,RB,WR,WR,TE,WR,TE,QB,1,1,7,0,1541.31372
12th,RB,RB,WR,RB,WR,RB,WR,WR,WR,2,0,4,3,1541.26908
1st,RB,QB,WR,RB,WR,TE,RB,WR,WR,1,2,5,1,1541.25516
1st,WR,TE,RB,RB,WR,RB,QB,WR,WR,1,4,3,1,1541.2342
4th,RB,RB,RB,WR,TE,RB,WR,QB,WR,1,2,5,1,1541.21602
12th,RB,RB,WR,WR,RB,WR,TE,TE,RB,2,1,6,0,1541.1873
1st,WR,RB,RB,WR,WR,RB,TE,WR,WR,2,3,3,1,1541.17082
6th,WR,RB,QB,RB,QB,RB,WR,TE,RB,0,2,5,2,1541.15336
6th,WR,RB,QB,WR,TE,RB,WR,TE,WR,1,3,5,0,1541.15154
9th,TE,WR,WR,RB,RB,WR,RB,QB,RB,1,3,4,1,1541.12502
12th,TE,RB,QB,RB,RB,WR,WR,WR,QB,0,2,6,1,1541.10644
1st,WR,QB,QB,WR,RB,RB,WR,WR,TE,0,5,3,1,1541.09096
4th,RB,WR,TE,WR,RB,WR,WR,WR,QB,1,2,5,1,1541.08408
12th,RB,RB,WR,RB,RB,WR,TE,WR,QB,1,0,7,1,1541.06142
12th,RB,WR,RB,WR,RB,QB,TE,WR,RB,1,2,5,1,1541.05878
6th,WR,TE,QB,WR,RB,WR,WR,TE,WR,1,6,2,0,1541.0306
12th,RB,WR,TE,TE,RB,QB,WR,WR,WR,1,2,6,0,1541.00752
6th,WR,QB,QB,RB,TE,TE,WR,WR,WR,0,6,2,1,1541.00636
9th,WR,WR,RB,RB,TE,TE,QB,QB,RB,0,4,5,0,1541
9th,RB,WR,WR,WR,QB,TE,RB,TE,WR,1,2,5,1,1541
4th,RB,WR,WR,WR,RB,RB,RB,QB,TE,1,1,5,2,1541
4th,RB,RB,RB,TE,WR,WR,TE,QB,QB,0,0,9,0,1541
12th,RB,TE,WR,QB,RB,QB,RB,QB,RB,0,3,5,1,1541
9th,RB,TE,WR,TE,QB,WR,QB,WR,WR,0,6,3,0,1541
4th,RB,RB,RB,RB,RB,TE,TE,TE,WR,3,0,6,0,1541
1st,RB,RB,QB,RB,WR,WR,RB,TE,WR,0,1,6,2,1541
12th,WR,WR,WR,RB,RB,QB,WR,RB,TE,0,4,4,1,1541
9th,RB,WR,WR,TE,TE,WR,QB,TE,WR,1,5,3,0,1540.99894
1st,WR,RB,WR,WR,WR,TE,RB,RB,WR,2,2,4,1,1540.99024
12th,WR,RB,TE,WR,TE,RB,WR,WR,WR,2,2,5,0,1540.97684
12th,WR,QB,WR,QB,RB,RB,WR,WR,WR,0,4,3,2,1540.96366
9th,WR,RB,TE,RB,WR,WR,QB,RB,TE,1,2,6,0,1540.95746
4th,RB,QB,RB,WR,RB,RB,QB,WR,WR,0,3,4,2,1540.93944
9th,RB,WR,QB,WR,RB,TE,TE,RB,WR,1,3,5,0,1540.9298
12th,TE,RB,TE,WR,WR,WR,RB,RB,QB,1,2,6,0,1540.92406
4th,WR,RB,RB,WR,TE,RB,WR,TE,WR,2,2,5,0,1540.91274
1st,WR,RB,TE,RB,WR,RB,QB,WR,WR,1,4,3,1,1540.8905
12th,TE,RB,RB,WR,TE,WR,WR,RB,QB,1,1,7,0,1540.83066
1st,WR,RB,TE,WR,WR,TE,RB,RB,WR,2,2,5,0,1540.82082
1st,WR,RB,RB,RB,WR,TE,RB,RB,TE,2,0,7,0,1540.81046
9th,RB,QB,TE,WR,RB,RB,WR,WR,RB,1,1,5,2,1540.80108
9th,TE,WR,WR,TE,WR,QB,RB,RB,WR,1,3,5,0,1540.78014
9th,RB,RB,WR,RB,RB,WR,RB,WR,TE,2,0,6,1,1540.76596
1st,RB,RB,WR,RB,TE,WR,WR,WR,WR,3,0,5,1,1540.74152
9th,WR,RB,TE,RB,RB,RB,WR,QB,TE,1,2,6,0,1540.73736
12th,WR,QB,WR,RB,RB,WR,WR,TE,WR,1,3,4,1,1540.72336
6th,RB,RB,TE,WR,RB,RB,WR,WR,QB,1,2,5,1,1540.71978
4th,RB,RB,RB,RB,TE,WR,WR,TE,QB,1,1,7,0,1540.71048
12th,WR,QB,QB,RB,WR,RB,TE,WR,WR,0,5,3,1,1540.69394
9th,RB,RB,WR,RB,RB,WR,TE,WR,QB,1,0,7,1,1540.69126
4th,WR,QB,RB,RB,RB,WR,WR,WR,RB,1,3,3,2,1540.67408
9th,WR,WR,WR,RB,TE,WR,WR,WR,RB,2,4,2,1,1540.67182
1st,WR,WR,TE,RB,WR,RB,WR,WR,RB,2,2,4,1,1540.66762
9th,WR,RB,TE,RB,TE,RB,RB,WR,WR,2,2,5,0,1540.63964
4th,WR,WR,RB,WR,WR,RB,TE,WR,QB,1,5,2,1,1540.60102
9th,WR,WR,RB,RB,TE,RB,RB,WR,WR,2,3,3,1,1540.59368
1st,RB,RB,TE,WR,RB,WR,RB,TE,TE,2,2,5,0,1540.5927
6th,TE,WR,WR,QB,TE,WR,WR,RB,RB,1,3,5,0,1540.58942
6th,WR,RB,WR,WR,TE,RB,WR,TE,WR,2,3,4,0,1540.58688
6th,WR,RB,WR,RB,WR,TE,RB,RB,TE,2,1,6,0,1540.58378
12th,WR,RB,TE,WR,RB,QB,TE,TE,RB,1,2,6,0,1540.57938
9th,WR,WR,WR,RB,TE,TE,WR,WR,WR,3,4,2,0,1540.57898
6th,WR,QB,QB,WR,RB,TE,WR,WR,WR,0,6,2,1,1540.57576
9th,WR,QB,TE,WR,QB,RB,RB,WR,WR,0,5,3,1,1540.5527
4th,WR,RB,TE,WR,TE,RB,WR,RB,WR,2,3,4,0,1540.55254
12th,WR,WR,RB,RB,WR,RB,RB,WR,TE,2,2,4,1,1540.54098
12th,WR,WR,TE,WR,WR,RB,WR,RB,QB,1,3,4,1,1540.50716
1st,RB,RB,RB,WR,WR,WR,TE,WR,WR,3,0,4,2,1540.50068
12th,TE,RB,QB,RB,RB,WR,WR,WR,WR,1,3,4,1,1540.47972
12th,RB,WR,QB,RB,TE,TE,TE,WR,WR,1,2,6,0,1540.46374
4th,WR,QB,QB,RB,WR,RB,TE,WR,WR,0,5,3,1,1540.42624
9th,TE,WR,WR,QB,QB,WR,RB,RB,RB,0,2,6,1,1540.41368
6th,RB,RB,RB,RB,TE,RB,WR,WR,WR,2,1,5,1,1540.40428
4th,RB,WR,QB,RB,RB,RB,TE,WR,WR,1,1,6,1,1540.36352
6th,WR,WR,WR,WR,WR,WR,WR,TE,QB,1,5,0,3,1540.35738
9th,WR,RB,TE,RB,QB,TE,RB,RB,WR,1,3,5,0,1540.30582
12th,RB,QB,TE,RB,RB,WR,WR,WR,WR,1,3,4,1,1540.30354
1st,WR,RB,TE,WR,RB,TE,RB,RB,WR,2,2,5,0,1540.27042
9th,RB,RB,RB,RB,TE,WR,WR,WR,RB,2,0,6,1,1540.25336
4th,WR,TE,RB,TE,RB,QB,WR,WR,WR,1,6,2,0,1540.24856
6th,RB,QB,WR,WR,RB,RB,WR,WR,RB,1,1,4,3,1540.20366
4th,WR,RB,RB,WR,WR,RB,TE,WR,QB,1,4,3,1,1540.18098
4th,WR,RB,TE,WR,RB,TE,RB,QB,RB,1,3,5,0,1540.12384
9th,WR,QB,WR,RB,WR,WR,RB,TE,RB,1,3,3,2,1540.11256
12th,WR,QB,QB,RB,WR,TE,TE,WR,RB,0,6,3,0,1540.10376
1st,WR,QB,TE,RB,WR,WR,QB,WR,WR,0,6,2,1,1540.09974
9th,RB,RB,WR,RB,TE,RB,WR,WR,RB,2,1,5,1,1540.08424
4th,TE,RB,WR,TE,WR,WR,RB,WR,QB,1,2,6,0,1540.07892
6th,WR,QB,WR,TE,RB,RB,WR,RB,WR,1,4,3,1,1540.06308
9th,TE,RB,QB,RB,TE,WR,WR,WR,QB,0,2,7,0,1540.00902
4th,WR,WR,WR,WR,WR,RB,RB,QB,TE,1,3,4,1,1540.00592
4th,RB,RB,WR,RB,WR,RB,TE,QB,TE,1,3,5,0,1540
9th,WR,RB,WR,QB,TE,RB,WR,RB,RB,0,2,5,2,1540
9th,RB,RB,RB,RB,RB,TE,TE,QB,QB,0,0,9,0,1540
12th,RB,WR,RB,WR,RB,WR,WR,WR,TE,2,2,4,1,1540
1st,WR,WR,TE,TE,WR,WR,WR,WR,WR,3,6,0,0,1540
9th,WR,WR,WR,WR,TE,QB,WR,QB,TE,2,5,1,1,1540
1st,RB,RB,RB,RB,RB,WR,WR,TE,TE,3,0,6,0,1540
4th,WR,WR,TE,QB,WR,TE,RB,WR,QB,1,3,4,1,1540
9th,WR,WR,WR,RB,RB,TE,TE,WR,WR,2,4,3,0,1540
12th,RB,WR,RB,RB,RB,WR,WR,WR,QB,1,1,5,2,1540
12th,RB,QB,RB,TE,WR,RB,WR,WR,WR,1,3,4,1,1539.99428
6th,TE,RB,RB,QB,QB,WR,WR,RB,WR,0,1,7,1,1539.99412
1st,RB,RB,RB,RB,RB,WR,RB,WR,QB,2,0,4,3,1539.98038
4th,WR,WR,QB,WR,TE,RB,RB,WR,QB,0,3,5,1,1539.94356
9th,RB,QB,RB,WR,WR,WR,RB,RB,WR,1,1,4,3,1539.9408
9th,TE,RB,RB,RB,RB,WR,WR,QB,WR,1,1,6,1,1539.92822
12th,RB,QB,TE,RB,WR,RB,RB,WR,WR,1,1,6,1,1539.89642
4th,TE,WR,WR,RB,WR,QB,WR,RB,QB,0,3,5,1,1539.8945
12th,TE,WR,RB,WR,RB,QB,WR,RB,QB,0,4,4,1,1539.88774
1st,WR,RB,TE,WR,WR,RB,WR,RB,TE,2,4,3,0,1539.8757
4th,TE,RB,TE,WR,RB,QB,RB,QB,WR,0,2,7,0,1539.86222
9th,RB,RB,RB,WR,WR,TE,QB,WR,WR,1,1,6,1,1539.80464
9th,WR,RB,TE,RB,RB,TE,RB,QB,RB,1,2,6,0,1539.78202
4th,WR,WR,WR,WR,WR,WR,WR,RB,QB,1,6,0,2,1539.75194
1st,WR,QB,RB,WR,WR,RB,WR,WR,WR,1,5,1,2,1539.7467
4th,WR,QB,RB,TE,RB,WR,RB,QB,WR,0,4,4,1,1539.73188
6th,WR,RB,TE,WR,WR,TE,RB,RB,WR,2,2,5,0,1539.70058
4th,WR,RB,TE,RB,WR,RB,WR,RB,TE,2,2,5,0,1539.67262
9th,TE,WR,RB,RB,WR,WR,RB,WR,QB,1,3,4,1,1539.64904
12th,WR,QB,WR,WR,RB,RB,WR,TE,RB,1,2,5,1,1539.5538
12th,RB,WR,RB,RB,TE,RB,WR,TE,RB,3,0,5,1,1539.54764
4th,RB,WR,WR,TE,TE,RB,RB,TE,WR,2,2,5,0,1539.50722
9th,WR,RB,WR,RB,WR,RB,WR,RB,WR,2,2,3,2,1539.48548
12th,RB,RB,RB,RB,TE,TE,WR,WR,WR,2,1,6,0,1539.47408
4th,WR,WR,QB,TE,RB,WR,RB,WR,WR,1,3,4,1,1539.44706
4th,WR,WR,WR,WR,WR,WR,WR,RB,QB,2,4,0,3,1539.43036
9th,WR,WR,TE,RB,QB,QB,WR,RB,QB,0,3,4,2,1539.4023
6th,RB,RB,TE,WR,WR,RB,RB,TE,QB,1,1,7,0,1539.3948
4th,WR,WR,RB,RB,WR,WR,TE,WR,RB,2,3,3,1,1539.37028
4th,TE,WR,RB,WR,WR,QB,WR,QB,RB,0,3,5,1,1539.36248
1st,TE,RB,RB,QB,WR,RB,WR,RB,WR,1,1,6,1,1539.35908
4th,WR,WR,RB,TE,TE,WR,RB,QB,WR,1,3,5,0,1539.35342
1st,RB,RB,WR,RB,RB,WR,WR,WR,WR,2,0,5,2,1539.32052
9th,WR,WR,TE,WR,RB,RB,WR,WR,WR,2,3,3,1,1539.23862
6th,WR,RB,RB,RB,TE,RB,WR,WR,WR,2,3,3,1,1539.23178
12th,WR,RB,RB,WR,WR,RB,TE,WR,WR,2,3,3,1,1539.21948
9th,WR,QB,WR,WR,RB,TE,RB,QB,RB,0,4,4,1,1539.21084
4th,WR,TE,QB,RB,WR,QB,TE,WR,TE,0,6,3,0,1539.19858
6th,WR,QB,TE,RB,RB,WR,WR,RB,WR,1,4,3,1,1539.19056
4th,RB,QB,RB,RB,TE,QB,WR,RB,WR,0,3,5,1,1539.18162
6th,WR,RB,QB,RB,RB,TE,RB,RB,WR,1,1,6,1,1539.17538
1st,RB,WR,TE,TE,RB,RB,RB,WR,WR,2,3,4,0,1539.17524
4th,WR,WR,RB,RB,TE,RB,WR,TE,RB,3,1,4,1,1539.16442
1st,WR,RB,QB,RB,RB,QB,WR,WR,WR,0,3,4,2,1539.15342
9th,WR,WR,RB,TE,WR,RB,WR,WR,WR,2,2,4,1,1539.11522
4th,WR,QB,RB,TE,WR,RB,WR,WR,WR,1,4,3,1,1539.11304
12th,WR,WR,RB,RB,WR,RB,WR,WR,RB,2,2,3,2,1539.10964
9th,RB,RB,TE,RB,RB,WR,RB,WR,WR,2,0,6,1,1539.1054
9th,TE,WR,WR,QB,TE,WR,WR,RB,RB,1,3,5,0,1539.0885
1st,TE,RB,QB,RB,WR,WR,RB,QB,WR,0,2,6,1,1539.08522
6th,RB,QB,TE,RB,RB,WR,WR,RB,WR,1,3,4,1,1539.06742
12th,RB,RB,RB,WR,RB,WR,RB,TE,RB,2,0,6,1,1539.05766
4th,WR,QB,TE,RB,RB,WR,WR,WR,WR,1,4,3,1,1539.0358
12th,WR,RB,TE,WR,TE,RB,WR,WR,WR,2,3,4,0,1539.0215
4th,WR,WR,RB,RB,WR,WR,RB,QB,QB,0,5,3,1,1539
9th,WR,WR,QB,WR,RB,WR,RB,TE,TE,0,4,5,0,1539
4th,WR,WR,WR,WR,WR,WR,TE,RB,QB,1,5,1,2,1539
12th,WR,RB,RB,WR,QB,RB,TE,WR,RB,0,4,4,1,1539
4th,RB,QB,WR,RB,QB,TE,TE,WR,RB,0,3,4,2,1539
9th,RB,RB,WR,WR,TE,RB,WR,RB,TE,2,1,5,1,1539
12th,WR,WR,RB,WR,RB,WR,WR,WR,QB,1,4,2,2,1539
9th,RB,WR,TE,WR,WR,TE,WR,QB,TE,0,4,5,0,1539
12th,WR,WR,RB,RB,WR,TE,RB,WR,WR,2,3,4,0,1539
9th,RB,WR,QB,TE,WR,RB,RB,TE,RB,2,5,2,0,1539
9th,WR,QB,QB,RB,WR,TE,TE,WR,RB,0,6,3,0,1538.99326
6th,WR,RB,TE,WR,TE,RB,WR,WR,WR,2,4,3,0,1538.9753
1st,WR,QB,TE,RB,WR,WR,RB,WR,RB,1,3,3,2,1538.9692
9th,RB,RB,RB,WR,RB,WR,RB,TE,RB,2,0,6,1,1538.95626
9th,WR,QB,TE,RB,WR,WR,QB,WR,WR,0,6,2,1,1538.9205
12th,WR,WR,WR,RB,WR,RB,TE,WR,QB,1,3,4,1,1538.91224
6th,WR,RB,TE,RB,RB,RB,WR,QB,RB,1,2,5,1,1538.84364
9th,TE,WR,WR,QB,RB,WR,WR,RB,WR,1,3,4,1,1538.84204
6th,WR,RB,WR,TE,WR,RB,WR,RB,TE,2,2,5,0,1538.83672
1st,TE,RB,RB,RB,TE,WR,WR,WR,QB,1,1,7,0,1538.81252
4th,RB,RB,TE,WR,RB,RB,WR,WR,QB,1,2,5,1,1538.80524
9th,RB,RB,RB,RB,TE,WR,WR,TE,QB,1,1,7,0,1538.74052
6th,WR,QB,TE,WR,RB,RB,WR,WR,WR,1,5,2,1,1538.74044
12th,RB,WR,RB,TE,RB,QB,RB,WR,WR,1,2,5,1,1538.7163
1st,WR,WR,RB,RB,QB,WR,WR,WR,TE,1,2,5,1,1538.71426
6th,WR,WR,RB,RB,WR,RB,WR,WR,TE,2,2,4,1,1538.6844
4th,WR,RB,RB,RB,WR,RB,WR,RB,WR,2,0,4,3,1538.67624
1st,WR,TE,RB,RB,TE,WR,WR,WR,QB,1,6,2,0,1538.64358
4th,WR,RB,RB,TE,WR,RB,WR,RB,TE,2,2,5,0,1538.63824
9th,WR,QB,WR,QB,RB,TE,WR,TE,WR,0,6,3,0,1538.63622
9th,RB,RB,RB,RB,WR,RB,WR,WR,QB,1,0,5,3,1538.57958
6th,WR,RB,RB,TE,RB,RB,WR,QB,RB,1,1,6,1,1538.57116
6th,RB,QB,WR,TE,RB,RB,WR,RB,WR,1,3,4,1,1538.52762
12th,WR,RB,TE,RB,WR,RB,WR,RB,RB,2,2,4,1,1538.47486
1st,TE,RB,RB,QB,RB,WR,WR,WR,TE,1,1,7,0,1538.44218
9th,WR,WR,RB,RB,WR,WR,QB,TE,WR,1,3,4,1,1538.42676
4th,WR,WR,RB,WR,WR,WR,TE,WR,RB,2,4,2,1,1538.42546
4th,TE,RB,WR,RB,TE,WR,WR,QB,WR,1,3,5,0,1538.3996
9th,RB,RB,RB,RB,TE,WR,WR,WR,WR,2,1,5,1,1538.38444
9th,RB,RB,RB,WR,TE,RB,TE,WR,WR,2,1,5,1,1538.35836
9th,RB,QB,WR,WR,TE,RB,RB,RB,QB,0,2,6,1,1538.34204
9th,WR,RB,TE,WR,RB,RB,WR,WR,QB,1,4,3,1,1538.30952
4th,RB,RB,WR,RB,TE,RB,WR,WR,RB,2,1,5,1,1538.27434
9th,WR,WR,WR,RB,RB,TE,QB,WR,WR,2,3,2,2,1538.24732
4th,WR,WR,RB,RB,WR,TE,RB,WR,WR,2,3,3,1,1538.23474
4th,WR,RB,WR,WR,RB,RB,WR,QB,RB,1,2,4,2,1538.22636
1st,WR,RB,RB,RB,TE,QB,WR,WR,WR,1,4,3,1,1538.21732
12th,RB,WR,WR,TE,TE,RB,RB,TE,WR,2,2,5,0,1538.20944
4th,WR,QB,WR,WR,RB,RB,WR,TE,RB,1,2,5,1,1538.19846
9th,WR,RB,TE,WR,WR,WR,QB,RB,WR,1,3,4,1,1538.19344
1st,RB,WR,QB,RB,QB,TE,WR,WR,WR,0,2,6,1,1538.17414
1st,WR,WR,WR,RB,TE,TE,WR,WR,WR,3,4,2,0,1538.1635
4th,TE,RB,WR,TE,RB,WR,WR,QB,RB,1,2,6,0,1538.11852
6th,WR,TE,RB,WR,RB,WR,WR,WR,WR,2,5,1,1,1538.1058
4th,WR,QB,QB,WR,RB,RB,WR,WR,TE,0,5,3,1,1538.09442
9th,WR,QB,WR,RB,TE,RB,WR,WR,WR,1,4,3,1,1538.09298
9th,TE,WR,QB,RB,RB,WR,RB,WR,WR,1,3,4,1,1538.08538
9th,RB,WR,RB,TE,RB,RB,WR,TE,WR,2,1,5,1,1538.0776
1st,WR,WR,QB,RB,RB,TE,RB,WR,WR,1,2,5,1,1538.069
4th,RB,QB,TE,RB,WR,RB,WR,WR,RB,1,2,5,1,1538.06004
9th,RB,QB,RB,WR,RB,TE,WR,QB,WR,0,3,5,1,1538.05282
9th,TE,WR,WR,RB,WR,RB,RB,WR,QB,1,3,4,1,1538.03324
4th,RB,RB,RB,TE,RB,RB,WR,WR,WR,2,0,6,1,1538.0325
6th,TE,RB,RB,QB,WR,RB,WR,RB,WR,1,1,6,1,1538.03204
12th,WR,RB,RB,TE,RB,RB,WR,WR,WR,2,2,4,1,1538.01848
9th,RB,RB,RB,RB,TE,WR,RB,WR,WR,2,0,6,1,1538.00232
12th,WR,WR,RB,WR,RB,RB,WR,TE,TE,2,3,4,0,1538
12th,WR,WR,WR,WR,WR,RB,RB,RB,RB,2,2,2,3,1538
4th,QB,WR,RB,QB,WR,RB,TE,WR,WR,0,4,3,2,1538
9th,RB,RB,WR,RB,QB,WR,TE,WR,RB,1,3,4,1,1538
4th,WR,WR,QB,WR,RB,RB,TE,WR,RB,0,4,4,1,1538
4th,RB,RB,RB,WR,TE,QB,RB,WR,TE,0,4,5,0,1538
